name,indent_err,comment_curlybracket_err,comment_linebreaker_err,comment_magicnumber_err,comment_head_err,comment_macro_err,comment_func_err,comment_tag_param_err,comment_tag_return_err,commenting,formating
rssuh,0,0,0,1,0,0,0,0,0,0,1
jrsykes2,0,0,0,0,0,0,0,0,0,0,0
actasiss,0,0,0,0,0,0,0,1,0,1,0
kdtate,0,0,0,0,0,0,0,0,1,1,0
wgthoma3,0,0,0,0,0,0,0,0,1,1,0
fttolliv,0,0,0,0,0,0,0,0,1,1,0
tatran5,0,0,0,0,0,0,0,0,0,0,0
deturner,0,,0,0,0,0,,,,0,0
jdusher,0,0,0,0,0,0,0,0,0,0,0
skverma,0,4,0,0,0,0,0,0,3,3,4
awaleed,0,0,0,0,0,0,0,0,0,0,0
mcwise3,0,0,0,0,0,0,0,0,0,0,0
zhyakout,0,0,0,1,0,0,0,0,0,0,1
yzhou39,0,0,0,1,0,0,0,0,1,1,1
njziglar,0,0,0,0,0,0,0,0,0,0,0
gaban,0,0,0,0,0,0,0,0,0,0,0
lhbarber,0,1,0,1,0,0,0,0,0,0,2
jbayne,0,10,0,0,0,0,0,0,0,0,10
jeboucha,0,0,0,1,0,0,0,0,1,1,1
lbuttit,0,0,0,0,0,0,0,0,1,1,0
kscho2,,,,,,,,,,0,0
jdonnel2,0,4,0,1,0,0,0,0,0,0,5
jmduffy,0,0,0,0,0,0,0,0,1,1,0
wgreene,0,0,0,0,0,0,0,0,0,0,0
dhecht,0,0,0,0,0,0,0,0,0,0,0
dho2,0,0,0,0,0,0,2,0,0,2,0
slundy,0,0,0,0,0,0,0,3,3,6,0
pcpurdue,0,0,0,0,0,0,0,0,2,2,0
vrajago2,0,2,0,0,0,0,0,0,5,5,2
dsramasw,0,4,0,1,0,0,0,0,0,0,5
jvrichar,0,0,0,0,0,0,0,2,3,5,0
nksanfor,0,0,0,0,0,0,0,0,0,0,0
